fatelk@live.com;  Angelica Hendrix; 119 San Carlos Road;    
brickbat@gmail.com ;  Michael Sparks;   924 North Taylor St.;   
aglassis@gmail.com ;  Anya Zamora;  Lawrence, MA 01841; 
formis@aol.com ;  Layne Chandler;   472 New Street; 
wagnerch@aol.com   ;  Kenya Chan;   Bettendorf, IA 52722;   
crypt@me.com   ;  Lennon Cantu; 9571 Arlington St.; 
bradl@icloud.com   ;  Braylen Weber;    Holyoke, MA 01040;  
hyper@sbcglobal.net;  Marisa Collier;   52 High St.;    
bigmauler@hotmail.com  ;  Precious Poole;   Parkville, MD 21234;    
dwsauder@hotmail.com   ;  Alana Ho; 160 Dogwood St.;    
jaesenj@hotmail.com;  Nyasia Rasmussen; Ames, IA 50010; 
njpayne@yahoo.ca   ;  Katrina Best; 66 Glendale Lane;   
whimsy@icloud.com  ;  Bentley Silva;    Cambridge, MA 02138;    
mailarc@sbcglobal.net  ;  Kristen Richard;  713 Bayport Ave.;   
hmbrand@hotmail.com;  Shiloh Campbell;  Miami, FL 33125;    
mrdvt@yahoo.com;  Diego Lucero; 728 Sussex Lane;    
rddesign@yahoo.ca  ;  Darwin Mckay; Mechanicsburg, PA 17050;    
redingtn@hotmail.com   ;  Kelsie Berry; 957 Bedford Rd.;    
keijser@sbcglobal.net  ;  Mathew Cummings;  Cleveland, TN 37312;    
iamcal@verizon.net ;  Brayden Aguirre;  853 Brook St.;  
kronvold@yahoo.com ;      Sara King;    Munster, IN 46321;  
